nativePermissions	owner	group	size	lastModified	path	type						
-----------------	------	------	---------	--------------------	-----------------------------------------------------------------------------------------	----					forward	reverse
rw-r--r--	816290	803419	58790256	2025-04-03T18:56:41Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4569_S20_L001_R2_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4569_S20_L001_R2_001.fastq.gz	4594_S36_R1_001.fastq.gz	4594_S36_R2_001.fastq.gz
rw-r--r--	816290	803419	75889988	2025-04-03T18:56:47Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4573_S21_L001_R1_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4573_S21_L001_R1_001.fastq.gz	4595_S37_R1_001.fastq.gz	4595_S37_R2_001.fastq.gz
rw-r--r--	816290	803419	80072974	2025-04-03T18:56:54Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4573_S21_L001_R2_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4573_S21_L001_R2_001.fastq.gz	4599_S16_L001_R1_001.fastq.gz	4599_S16_L001_R2_001.fastq.gz
rw-r--r--	816290	803419	87234728	2025-05-15T23:36:32Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4574_S2_L001_R1_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4574_S2_L001_R1_001.fastq.gz	4600_S34_L001_R1_001.fastq.gz	4600_S34_L001_R2_001.fastq.gz
rw-r--r--	816290	803419	93756380	2025-05-15T23:36:43Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4574_S2_L001_R2_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4574_S2_L001_R2_001.fastq.gz	4603_S43_L001_R1_001.fastq.gz	4603_S43_L001_R2_001.fastq.gz
rw-r--r--	816290	803419	100660093	2025-04-03T18:57:02Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4575_S1_L001_R1_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4575_S1_L001_R1_001.fastq.gz	4605_S38_R1_001.fastq.gz	4605_S38_R2_001.fastq.gz
rw-r--r--	816290	803419	109825509	2025-04-03T18:57:12Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4575_S1_L001_R2_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4575_S1_L001_R2_001.fastq.gz	4613_S49_R1_001.fastq.gz	4613_S49_R2_001.fastq.gz
rw-r--r--	816290	803419	87511937	2025-05-15T23:59:03Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4577_S19_L001_R1_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4577_S19_L001_R1_001.fastq.gz	4615_S2_L001_R1_001.fastq.gz	4615_S2_L001_R2_001.fastq.gz
rw-r--r--	816290	803419	92196680	2025-05-15T23:59:09Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4577_S19_L001_R2_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4577_S19_L001_R2_001.fastq.gz	4618_S50_R1_001.fastq.gz	4618_S50_R2_001.fastq.gz
rw-r--r--	816290	803419	111090086	2025-05-15T23:36:57Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4578_S3_L001_R1_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4578_S3_L001_R1_001.fastq.gz	4621_S26_R1_001.fastq.gz	4621_S26_R2_001.fastq.gz
rw-r--r--	816290	803419	114820482	2025-05-15T23:37:16Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4578_S3_L001_R2_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4578_S3_L001_R2_001.fastq.gz	4625_S21_L001_R1_001.fastq.gz	4625_S21_L001_R2_001.fastq.gz
rw-r--r--	816290	803419	110872714	2025-04-03T18:57:21Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4587_S42_L001_R1_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4587_S42_L001_R1_001.fastq.gz	4632_S3_L001_R1_001.fastq.gz	4632_S3_L001_R2_001.fastq.gz
rw-r--r--	816290	803419	120784406	2025-04-03T18:57:31Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4587_S42_L001_R2_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4587_S42_L001_R2_001.fastq.gz	4633_S17_L001_R1_001.fastq.gz	4633_S17_L001_R2_001.fastq.gz
rw-r--r--	816290	803419	87018998	2025-05-16T03:18:19Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4592_S34_R1_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4592_S34_R1_001.fastq.gz	4638_S35_L001_R1_001.fastq.gz	4638_S35_L001_R2_001.fastq.gz
rw-r--r--	816290	803419	87252036	2025-05-16T03:18:37Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4592_S34_R2_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4592_S34_R2_001.fastq.gz	4644_S36_L001_R1_001.fastq.gz	4644_S36_L001_R2_001.fastq.gz
rw-r--r--	816290	803419	79357605	2025-05-16T03:18:48Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4593_S35_R1_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4593_S35_R1_001.fastq.gz	4649_S39_R1_001.fastq.gz	4649_S39_R2_001.fastq.gz
rw-r--r--	816290	803419	77783478	2025-05-16T03:18:57Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4593_S35_R2_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4593_S35_R2_001.fastq.gz	4653_S37_L001_R1_001.fastq.gz	4653_S37_L001_R2_001.fastq.gz
rw-r--r--	816290	803419	82703595	2025-05-16T03:19:08Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4594_S36_R1_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4594_S36_R1_001.fastq.gz	4658_S47_R1_001.fastq.gz	4658_S47_R2_001.fastq.gz
rw-r--r--	816290	803419	74075313	2025-05-16T03:19:24Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4594_S36_R2_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4594_S36_R2_001.fastq.gz	4659_S40_R1_001.fastq.gz	4659_S40_R2_001.fastq.gz
rw-r--r--	816290	803419	59536662	2025-05-16T03:19:34Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4595_S37_R1_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4595_S37_R1_001.fastq.gz	4664_S12_L001_R1_001.fastq.gz	4664_S12_L001_R2_001.fastq.gz
rw-r--r--	816290	803419	57017056	2025-05-16T03:19:43Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4595_S37_R2_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4595_S37_R2_001.fastq.gz	4670_S4_L001_R1_001.fastq.gz	4670_S4_L001_R2_001.fastq.gz
rw-r--r--	816290	803419	130256157	2025-04-03T18:57:41Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4599_S16_L001_R1_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4599_S16_L001_R1_001.fastq.gz	4674_S4_L001_R1_001.fastq.gz	4674_S4_L001_R2_001.fastq.gz
