repertoire_id	level	mode	productive	combo	v_level	j_level	sequence_count	duplicate_count	sequence_frequency	duplicate_frequency
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV4-59*01|IGHJ3*02	IGHV4-59*01	IGHJ3*02	92	166	0.009476720230737536	0.0099592032637389
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV4-59*02|IGHJ3*02	IGHV4-59*02	IGHJ3*02	2	2	0.00020601565718994644	0.00011999040076793856
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV4-39*07|IGHJ3*02	IGHV4-39*07	IGHJ3*02	27	28	0.002781211372064277	0.00167986561075114
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV7-4-1*02|IGHJ3*02	IGHV7-4-1*02	IGHJ3*02	37	66	0.003811289658014009	0.003959683225341973
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV3-74*01|IGHJ6*02	IGHV3-74*01	IGHJ6*02	75	155	0.0077255871446229914	0.009299256059515239
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV1-3*01|IGHJ6*03	IGHV1-3*01	IGHJ6*03	90	162	0.009270704573547589	0.009719222462203024
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV2-26*01|IGHJ6*03	IGHV2-26*01	IGHJ6*03	4	4	0.00041203131437989287	0.00023998080153587713
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV3-64D*06|IGHJ6*02	IGHV3-64D*06	IGHJ6*02	1	1	0.00010300782859497322	5.999520038396928e-05
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV3-43*01|IGHJ6*02	IGHV3-43*01	IGHJ6*02	2	2	0.00020601565718994644	0.00011999040076793856
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV3-30*18|IGHJ6*02	IGHV3-30*18	IGHJ6*02	7	7	0.0007210548001648125	0.000419966402687785
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV3-33*06|IGHJ6*02	IGHV3-33*06	IGHJ6*02	2	2	0.00020601565718994644	0.00011999040076793856
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV1-69*10|IGHJ6*03	IGHV1-69*10	IGHJ6*03	33	34	0.003399258343634116	0.0020398368130549556
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV3-48*01|IGHJ6*03	IGHV3-48*01	IGHJ6*03	224	447	0.023073753605274	0.02681785457163427
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV3-48*04|IGHJ6*02	IGHV3-48*04	IGHJ6*02	175	308	0.01802637000412031	0.018478521718262537
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV3-21*04|IGHJ6*02	IGHV3-21*04	IGHJ6*02	12	12	0.0012360939431396785	0.0007199424046076314
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV3-11*05|IGHJ6*03	IGHV3-11*05	IGHJ6*03	10	15	0.0010300782859497322	0.0008999280057595393
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV4-38-2*02|IGHJ6*02	IGHV4-38-2*02	IGHJ6*02	14	14	0.001442109600329625	0.00083993280537557
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV1-46*01|IGHJ6*03	IGHV1-46*01	IGHJ6*03	9	9	0.000927070457354759	0.0005399568034557236
